TestCaseName,TestCaseCode,SchemeName,SchemeType,SchemeRegion,SchemeContactPersonTitle,SchemeContactPersonSurname,SchemeContactPersonFirstname,SchemeContactPersonEmail,SchemeContactPersonPhoneNo,SchemeContactPersonPhoneFaxNo,SchemeContactPersonPhoneCellNo,SchemeStreetAddress1,SchemeStreetAddress2,SchemeStreetAddress3,SchemeStreetAddress4,SchemeStreetAddressPostalCode,SchemeStreetAddressCity,SchemeStreetAddressCountry,SchemeStreetAddressSameForPostalInd,SchemePostalAddress1,SchemePostalAddress2,SchemePostalAddress3,SchemePostalAddress4,SchemePostalAddressPostalCode,SchemePostalAddressCity,SchemeBankingDetailsBankName,SchemeBankingDetailsBankCode,SchemeBankingAccNo,SchemeBankingAccType,SchemePaymentMethodType,SchemePaymentMethodPaymentDay,SchemeServicingConsultantStaffCode,SchemeSalesConsultantStaffCode,SchemeProductOption,SchemeProductOptionCover,ProductType,ExternalVendor,ReIssuedBusiness,CashBack,WaitingPeriod,QCTestInstanceName,ScreenshotsLocation,RunTest
gfsSchemeTwelveSuccessfulPremsTest,GSTSP_0,Merna Funerals,Unbundled Funeral Parlour,WESTERN CAPE,MR,Symmons,Edie,edsys@sys.com,215525410,215525411,823355521,25 Market Street,Rugby Square,Newlands, ,7700,Cape Town,South Africa,Y, , , , , , ,ABSA,632005,123456789,Current Account,Debit Order,1,OM37389,OM37389,Core Family Super And Five Adult Dependants,13000,GFS Customised,N,Y,Y,0,GFS Scheme Twelve Successful Prems,Cash Back Data Setup\\GFS Scheme Twelve Successful Prems,N
bsspSchemeTwelveSuccessfulPremsTest,BSTSP_1,Mona Funerals,Unbundled Funeral Parlour,WESTERN CAPE,MR,Symmons,Edie,edsys@sys.com,215525410,215525411,823355521,25 Market Street,Rugby Square,Newlands, ,7700,Cape Town,South Africa,Y, , , , , , ,ABSA,632005,123456789,Current Account,Debit Order,1,OM37389,OM37389,Core Family Super And Five Adult Dependants,13000,BSSP Customised,N,Y,Y,0,BSSP Scheme Twelve Successful Prems,Cash Back Data Setup\\BSSP Scheme Twelve Successful Prems,N
gfsSchemeTwelvePremsNotConsecutivelyTest,GSTPNC_2,Aldo Funerals,Unbundled Funeral Parlour,WESTERN CAPE,MR,Symmons,Edie,edsys@sys.com,215525410,215525411,823355521,25 Market Street,Rugby Square,Newlands, ,7700,Cape Town,South Africa,Y, , , , , , ,ABSA,632005,123456789,Current Account,Debit Order,1,OM37389,OM37389,Core Family Super And Five Adult Dependants,13000,GFS Customised,N,Y,Y,0,GFS Scheme Twelve Prems Not Consecutively,Cash Back Data Setup\\GFS Scheme Twelve Prems Not Consecutively,N
bsspSchemeTwelvePremsNotConsecutivelyTest,BSTPNC_3,Northlink Funerals,Unbundled Funeral Parlour,WESTERN CAPE,MR,Symmons,Edie,edsys@sys.com,215525410,215525411,823355521,25 Market Street,Rugby Square,Newlands, ,7700,Cape Town,South Africa,Y, , , , , , ,ABSA,632005,123456789,Current Account,Debit Order,1,OM37389,OM37389,Core Family Super And Five Adult Dependants,13000,BSSP Customised,N,Y,Y,0,BSSP Scheme Twelve Prems Not Consecutively,Cash Back Data Setup\\BSSP Scheme Twelve Prems Not Consecutively,N
gfsSchemeTwelveSuccessfulPremsPMsLessThan500Test,GSTSPPLT_4,Joint Venture Funerals,Unbundled Funeral Parlour,WESTERN CAPE,MR,Symmons,Edie,edsys@sys.com,215525410,215525411,823355521,25 Market Street,Rugby Square,Newlands, ,7700,Cape Town,South Africa,Y, , , , , , ,ABSA,632005,123456789,Current Account,Debit Order,1,OM37389,OM37389,Core Family Super And Five Adult Dependants,13000,GFS Customised,N,Y,Y,0,GFS Scheme Twelve Successful Prems PMs less then 500,Cash Back Data Setup\\GFS Scheme Twelve Successful Prems PMs less then 500,N
bsspSchemeTwelveSuccessfulPremsPMsLessThan500Test,BSTSPPLT_5,Archi Funerals,Unbundled Funeral Parlour,WESTERN CAPE,MR,Symmons,Edie,edsys@sys.com,215525410,215525411,823355521,25 Market Street,Rugby Square,Newlands, ,7700,Cape Town,South Africa,Y, , , , , , ,ABSA,632005,123456789,Current Account,Debit Order,1,OM37389,OM37389,Core Family Super And Five Adult Dependants,13000,BSSP Customised,N,Y,Y,0,BSSP Scheme Twelve Successful Prems PMs less then 500,Cash Back Data Setup\\BSSP Scheme Twelve Successful Prems PMs less then 500,N
gfsSchemeElevenSuccessfulPremsTest,GSESP_6,Wingfield Funerals,Unbundled Funeral Parlour,WESTERN CAPE,MR,Symmons,Edie,edsys@sys.com,215525410,215525411,823355521,25 Market Street,Rugby Square,Newlands, ,7700,Cape Town,South Africa,Y, , , , , , ,ABSA,632005,123456789,Current Account,Debit Order,1,OM37389,OM37389,Core Family Super And Five Adult Dependants,13000,GFS Customised,N,Y,Y,0,GFS Scheme Twelve Successful Prems,Cash Back Data Setup\\GFS Scheme Eleven Successful Prems,N
bsspSchemeElevenSuccessfulPremsTest,BSESP_7,Muizenberg Funerals,Unbundled Funeral Parlour,WESTERN CAPE,MR,Symmons,Edie,edsys@sys.com,215525410,215525411,823355521,25 Market Street,Rugby Square,Newlands, ,7700,Cape Town,South Africa,Y, , , , , , ,ABSA,632005,123456789,Current Account,Debit Order,1,OM37389,OM37389,Core Family Super And Five Adult Dependants,13000,BSSP Customised,N,Y,Y,0,BSSP Scheme Twelve Successful Prems,Cash Back Data Setup\\BSSP Scheme Eleven Successful Prems,N
gfsSchemeTwelveSuccessfulPremsCancelTest,GSESP_8,Dros Funerals,Unbundled Funeral Parlour,WESTERN CAPE,MR,Symmons,Edie,edsys@sys.com,215525410,215525411,823355521,25 Market Street,Rugby Square,Newlands, ,7700,Cape Town,South Africa,Y, , , , , , ,ABSA,632005,123456789,Current Account,Debit Order,1,OM37389,OM37389,Core Family Super And Five Adult Dependants,13000,GFS Customised,N,Y,Y,0,GFS Scheme Twelve Successful Prems And Cancel,Cash Back Data Setup\\GFS Scheme Twelve Successful Prems And Cancel,Y
bsspSchemeTwelveSuccessfulPremsCancelTest,BSESP_9,Boss Funerals,Unbundled Funeral Parlour,WESTERN CAPE,MR,Symmons,Edie,edsys@sys.com,215525410,215525411,823355521,25 Market Street,Rugby Square,Newlands, ,7700,Cape Town,South Africa,Y, , , , , , ,ABSA,632005,123456789,Current Account,Debit Order,1,OM37389,OM37389,Core Family Super And Five Adult Dependants,13000,BSSP Customised,N,Y,Y,0,BSSP Scheme Twelve Successful Prems And Cancel,Cash Back Data Setup\\BSSP Scheme Twelve Successful Prems And Cancel,Y
