TestCaseName,TestCaseCode,SchemeName,SchemeType,SchemeRegion,SchemeContactPersonTitle,SchemeContactPersonSurname,SchemeContactPersonFirstname,SchemeContactPersonEmail,SchemeContactPersonPhoneNo,SchemeContactPersonPhoneFaxNo,SchemeContactPersonPhoneCellNo,SchemeStreetAddress1,SchemeStreetAddress2,SchemeStreetAddress3,SchemeStreetAddress4,SchemeStreetAddressPostalCode,SchemeStreetAddressCity,SchemeStreetAddressCountry,SchemeStreetAddressSameForPostalInd,SchemePostalAddress1,SchemePostalAddress2,SchemePostalAddress3,SchemePostalAddress4,SchemePostalAddressPostalCode,SchemePostalAddressCity,SchemeBankingDetailsBankName,SchemeBankingDetailsBankCode,SchemeBankingAccNo,SchemeBankingAccType,SchemePaymentMethodType,SchemePaymentMethodPaymentDay,SchemeServicingConsultantStaffCode,SchemeSalesConsultantStaffCode,SchemeProductOption,SchemeProductOptionCover,ProductType,ExternalVendor,ReIssuedBusiness,CashBack,WaitingPeriod,QCTestInstanceName,ScreenshotsLocation,RunTest
newTransactionBrandNewSchemeTest,NTBNS_0,Happiness Funerals,Unbundled Funeral Parlour,WESTERN CAPE,MR,Symmons,Edie,edsys@sys.com,215525410,215525411,823355521,25 Market Street,Rugby Square,Newlands, ,7700,Cape Town,South Africa,Y, , , , , , ,ABSA,632005,123456789,Current Account,Debit Order,1,OM37389,OM37389,Core Family Super And Five Adult Dependants,13000,BSSP,N,Y,N,0,New Transaction Brand New Scheme,Premium Collections\\New Transaction Brand New Scheme,Y
newTransactionPaymentMethodTypeChangeCashToDebitTest,NTPMC_1,Swarts Funerals,Unbundled Funeral Parlour,WESTERN CAPE,MR,Symmons,Edie,edsys@sys.com,215525410,215525411,823355521,25 Market Street,Rugby Square,Newlands, ,7700,Cape Town,South Africa,Y, , , , , , ,ABSA,632005,123456789,Current Account,Cash M65,1,OM37389,OM37389,Core Family Super And Five Adult Dependants,13000,BSSP,Y,N,N,0,New Transaction Payment Method Change (cash to debit),Premium Collections\\New Transaction Payment Method Type Change (cash to debit),Y
deleteNewTransactionPaymentDayChangeTest,DNTPDC_2,All Mine Funerals,Unbundled Funeral Parlour,WESTERN CAPE,MR,Symmons,Edie,edsys@sys.com,215525410,215525411,823355521,25 Market Street,Rugby Square,Newlands, ,7700,Cape Town,South Africa,Y, , , , , , ,ABSA,632005,123456789,Current Account,Debit Order,15,OM37389,OM37389,Core Family Super And Five Adult Dependants,13000,BSSP,N,Y,N,0,Delete and New Transaction Payment Method Day Change,Premium Collections\\Delete and New Transaction Payment Method Day Change,Y
newTransactionConsecutiveRDsTest,NTCR_3,Sergions Funerals,Unbundled Funeral Parlour,WESTERN CAPE,MR,Symmons,Edie,edsys@sys.com,215525410,215525411,823355521,25 Market Street,Rugby Square,Newlands, ,7700,Cape Town,South Africa,Y, , , , , , ,ABSA,632005,123456789,Current Account,Debit Order,15,OM37389,OM37389,Core Family Super And Five Adult Dependants,13000,BSSP,N,Y,N,0,New Transaction Consecutive RDs,Premium Collections\\New Transaction Consecutive RDs,Y
deleteNewTransactionLapsedSchemeTest,DNTLS_4,Goodness Funerals,Unbundled Funeral Parlour,WESTERN CAPE,MR,Symmons,Edie,edsys@sys.com,215525410,215525411,823355521,25 Market Street,Rugby Square,Newlands, ,7700,Cape Town,South Africa,Y, , , , , , ,ABSA,632005,123456789,Current Account,Debit Order,15,OM37389,OM37389,Core Family Super And Five Adult Dependants,13000,BSSP,N,Y,N,0,Delete New Transaction Lapsed Scheme Re-Instated,Premium Collections\\Delete New Transaction Lapsed Scheme Re-Instated,Y
newTransactionFirstPremCashConfirmationSecondPremViaRaisingTest,NTFPCCSPVR_5,Moris Funerals,Unbundled Funeral Parlour,WESTERN CAPE,MR,Symmons,Edie,edsys@sys.com,215525410,215525411,823355521,25 Market Street,Rugby Square,Newlands, ,7700,Cape Town,South Africa,Y, , , , , , ,ABSA,632005,123456789,Current Account,Debit Order,15,OM37389,OM37389,Core Family Super And Five Adult Dependants,13000,BSSP,N,Y,N,0,New Transaction First Premium Cash Confirmation,Premium Collections\\New Transaction First Premium Cash Confirmation,Y
newTransactionDeleteFromYMwithSpecificRDreasonTest,NTDFYWSRR_6,Arnold Funerals,Unbundled Funeral Parlour,WESTERN CAPE,MR,Symmons,Edie,edsys@sys.com,215525410,215525411,823355521,25 Market Street,Rugby Square,Newlands, ,7700,Cape Town,South Africa,Y, , , , , , ,ABSA,632005,123456789,Current Account,Debit Order,15,OM37389,OM37389,Core Family Super And Five Adult Dependants,13000,BSSP,N,Y,N,0,New Transaction After YM Delete With Specific RD Reason,Premium Collections\\New Transaction After YM Delete With Specific RD Reason,Y
deleteTransactionNewBusinessNonePaymentSchemeTest,DTNBNPS_7,NorthenIT Funerals,Unbundled Funeral Parlour,WESTERN CAPE,MR,Symmons,Edie,edsys@sys.com,215525410,215525411,823355521,25 Market Street,Rugby Square,Newlands, ,7700,Cape Town,South Africa,Y, , , , , , ,ABSA,632005,123456789,Current Account,Debit Order,15,OM37389,OM37389,Core Family Super And Five Adult Dependants,13000,BSSP,N,Y,N,0,Delete Transaction New Business None Payment Scheme,Premium Collections\\Delete Transaction New Business None Payment Scheme,Y
deleteTransactionPaymentMethodTypeChangeDebitToCashTest,DTNBNPS_8,John Funerals,Unbundled Funeral Parlour,WESTERN CAPE,MR,Symmons,Edie,edsys@sys.com,215525410,215525411,823355521,25 Market Street,Rugby Square,Newlands, ,7700,Cape Town,South Africa,Y, , , , , , ,ABSA,632005,123456789,Current Account,Debit Order,15,OM37389,OM37389,Core Family Super And Five Adult Dependants,13000,BSSP,N,Y,N,0,Delete Transaction Payment Method Type Change (debit to cash),Premium Collections\\Delete Transaction Payment Method Type Change (debit to cash),Y
deleteTransactionSchemeLapsedNoArrearPaymentReceivedTest,DTNBNPS_9,Thomas Funerals,Unbundled Funeral Parlour,WESTERN CAPE,MR,Symmons,Edie,edsys@sys.com,215525410,215525411,823355521,25 Market Street,Rugby Square,Newlands, ,7700,Cape Town,South Africa,Y, , , , , , ,ABSA,632005,123456789,Current Account,Debit Order,15,OM37389,OM37389,Core Family Super And Five Adult Dependants,13000,BSSP,N,Y,N,0,Delete YM Transaction - Scheme Lapsed status no arrear payment received,Premium Collections\\Delete YM Transaction - Scheme Lapsed status no arrear payment received,Y
